Year/species/area;Species;Area;Year;PCB7 l.w.;SDDT l.w.;SHCH l.w.;HCB l.w.;TNC l.w.;SPBDE l.w.;Log PCB7 LW;Log DDT LW;Log HCH LW;Log TNC LW;Log HCB LW;Log PBDE LW;Hel lengde, cm;Log(Length);Hel vekt, g;Lever vekt, g;LSI %;Log LSI;Fettinnhold, %;Log fett;Alder, y;PCB7, µg/kg ww;Log PCB7 ww;DDT ww1;Log DDT ww;HCH ww;Log HCH ww;TNC ww;Log TNC ww;HCB ww;Log HCB ww;PBDE ww;Log PBDE ww;DDT ww10;Var18;Var19
H Eb 2008;Haddock;Egersund Bank;2008;90,23512286;23,81933889;2,057627196;8,10072208;3,069960941;14,055552;1,955375614;1,376929703;0,313366691;0,48713285;0,908523733;1,147847906;32;1,51;347;13,00;3,746397695;0,57;55,8;1,75;3;50;1,70;13,29;1,12;1,15;0,06;1,71;0,23;4,52;0,65;7,84;0,89;13,29;;
H Eb 2008;Haddock;Egersund Bank;2008;90,33726205;37,91525294;1,37831974;8,278591362;4,207176421;42,34825525;1,955866924;1,578813958;0,139349976;0,623990724;0,917956446;1,626835522;34;1,53;418;24,00;5,741626794;0,76;61,3;1,79;3;55;1,74;23,23;1,37;0,84;-0,07;2,58;0,41;5,07;0,71;25,95;1,41;23,23;;
H Eb 2008;Haddock;Egersund Bank;2008;99,1532745;19,42451582;1,468762922;9,562556769;4,155718958;29,43764315;1,996307061;1,288350202;0,166951701;0,61864617;0,980574026;1,468903036;35;1,54;446;16,00;3,587443946;0,55;58,8;1,77;3;58;1,77;11,42;1,06;0,86;-0,06;2,44;0,39;5,62;0,75;17,31;1,24;11,42;;
H Eb 2008;Haddock;Egersund Bank;2008;111,8843421;53,25813465;1,023154402;10,02726537;3,044464266;31,00837104;2,048769312;1,726385951;0,009941177;0,483510881;1,001182509;1,491478952;30;1,48;313;12,00;3,833865815;0,58;45,6;1,66;2;51;1,71;24,29;1,39;0,47;-0,33;1,39;0,14;4,57;0,66;14,14;1,15;24,29;;
H Eb 2008;Haddock;Egersund Bank;2008;244,1877908;57,20639975;1,360413038;12,74742401;13,48734465;30,75413574;2,387723946;1,757444617;0,133670786;1,129926455;1,105422432;1,487903527;34;1,53;387;11,00;2,842377261;0,45;49,7;1,70;3;121;2,08;28,46;1,45;0,68;-0,17;6,71;0,83;6,34;0,80;15,30;1,18;28,46;;
H Eb 2008;Haddock;Egersund Bank;2008;101,3781523;45,74174994;1,470397781;8,624486735;2,960098328;28,29579358;2,005944372;1,660312775;0,167434839;0,471306138;0,935733259;1,451721879;31;1,49;275;10,00;3,636363636;0,56;45,7;1,66;2;46;1,67;20,89;1,32;0,67;-0,17;1,35;0,13;3,94;0,60;12,92;1,11;20,89;;
H Eb 2008;Haddock;Egersund Bank;2008;115,8858785;29,28984966;1,672872855;10,33429757;3,579870481;35,56980213;2,064030517;1,466717143;0,223462934;0,553867314;1,014280963;1,551081449;31;1,49;325;14,00;4,307692308;0,63;45,7;1,66;2;53;1,72;13,37;1,13;0,76;-0,12;1,63;0,21;4,72;0,67;16,24;1,21;13,37;;
H Eb 2008;Haddock;Egersund Bank;2008;100,7217767;39,38301032;1,652510647;10,39961672;3,698832275;25,59946615;2,003123378;1,595308909;0,218144266;0,568064639;1,017017334;1,408230909;34;1,53;424;20,00;4,716981132;0,67;58,1;1,76;3;59;1,77;22,89;1,36;0,96;-0,02;2,15;0,33;6,04;0,78;14,88;1,17;22,89;;
H Eb 2008;Haddock;Egersund Bank;2008;152,2872492;24,86312523;1,73630533;11,96710481;1,423601368;28,176263;2,182663542;1,395555717;0,239626098;0,153388397;1,077989095;1,449883392;33;1,52;466;10,00;2,145922747;0,33;39,1;1,59;3;60;1,77;9,72;0,99;0,68;-0,17;0,56;-0,25;4,68;0,67;11,02;1,04;9,72;;
H Eb 2008;Haddock;Egersund Bank;2008;74,95134051;37,33114557;1,446969806;8,129318155;2,708828114;23,21667395;1,874779405;1,572071317;0,160459469;0,432781448;0,910054121;1,365800002;34;1,53;520;27,00;5,192307692;0,72;60,2;1,78;3;45;1,65;22,46;1,35;0,87;-0,06;1,63;0,21;4,89;0,69;13,97;1,15;22,46;;
H Eb 2008;Haddock;Egersund Bank;2008;80,18739697;38,59536927;1,553283533;8,204463949;2,299576932;14,35472369;1,904106116;1,5865352;0,191250738;0,361647943;0,914050211;1,156994837;30;1,48;320;15,00;4,6875;0,67;54,3;1,74;3;44;1,64;20,97;1,32;0,84;-0,07;1,25;0,10;4,46;0,65;7,80;0,89;20,97;;
H Eb 2008;Haddock;Egersund Bank;2008;432,1260765;83,24993159;1,976613339;20,3569678;23,35561861;25,87332776;2,635610474;1,920383885;0,295921722;1,368391375;1,30871309;1,41285229;37;1,57;493;25,00;5,070993915;0,71;53,8;1,73;3;233;2,37;44,82;1,65;1,06;0,03;12,57;1,10;10,96;1,04;13,93;1,14;44,82;;
H Eb 2008;Haddock;Egersund Bank;2008;206,6459096;45,03976882;1,678177121;9,219891379;5,671374521;128,8373;2,315226813;1,653596153;0,224837796;0,753688328;0,964725805;2,110041615;45;1,65;979;35,00;3,575076609;0,55;48,6;1,69;9;100;2,00;21,87;1,34;0,82;-0,09;2,75;0,44;4,48;0,65;62,57;1,80;21,87;;
