Year/species/area;Species;Area;Year;PCB7 l.w.;SDDT l.w.;SHCH l.w.;HCB l.w.;TNC l.w.;SPBDE l.w.;Log PCB7 LW;Log DDT LW;Log HCH LW;Log TNC LW;Log HCB LW;Log PBDE LW;Hel lengde, cm;Log(Length);Hel vekt, g;Lever vekt, g;LSI %;Log LSI;Fettinnhold, %;Log fett;Alder, y;PCB7, µg/kg ww;Log PCB7 ww;DDT ww1;Log DDT ww;HCH ww;Log HCH ww;TNC ww;Log TNC ww;HCB ww;Log HCB ww;PBDE ww;Log PBDE ww;DDT ww10;Var18;Var19
C Eb 2019;Cod;Egersund Bank;2019;;;;;;;;;;;;;50;1,70;1135;125,00;11,01321586;1,04;;;;;;;;;;;;;;;;;C Eb;Cod Egersundbanken
C Eb 2019;Cod;Egersund Bank;2019;133,2886515;68,44558672;0,699066354;14,18405632;11,78159829;14,58252414;2,124793174;1,835345451;-0,1554816;1,071204211;1,151800447;1,163832704;47;1,67;1060;22,00;2,075471698;0,32;42,9;1,63;;57;1,76;29,37;1,47;0,30;-0,52;5,06;0,70;6,09;0,78;6,26;0,80;29,37;C T;Cod Tampen
C Eb 2019;Cod;Egersund Bank;2019;;;;;;;;;;;;;37;1,57;500;5,00;1;0,00;;;;;;;;;;;;;;;;;H Eb;Haddock Egersundbanken
C Eb 2019;Cod;Egersund Bank;2019;;;;;;;;;;;;;38;1,58;545;5,00;0,917431193;-0,04;;;;;;;;;;;;;;;;;H T;Haddock Tampen
C Eb 2019;Cod;Egersund Bank;2019;179,6271003;80,26903989;1,071936858;15,67901846;13,57786687;19,39972683;2,254371859;1,904548068;0,030169204;1,132831546;1,195318871;1,287795615;45;1,65;845;23,00;2,721893491;0,43;51,5;1,71;;93;1,97;41,34;1,62;0,55;-0,26;6,99;0,84;8,07;0,91;9,99;1,00;41,34;S Eb;Saithe Egersundbanken
C Eb 2019;Cod;Egersund Bank;2019;129,4009069;66,98771859;1,002510006;17,79223912;13,06039189;20,13502789;2,11193732;1,825995187;0,001088716;1,115956209;1,250230607;1,303952235;72;1,86;3680;177,00;4,809782609;0,68;64,8;1,81;;84;1,92;43,43;1,64;0,65;-0,19;8,47;0,93;11,54;1,06;13,06;1,12;43,43;S T;Saithe Tampen
C Eb 2016;Cod;Egersund Bank;2016;617,7045592;211,3901801;3,645504521;27,76148376;40,28124254;54,27289636;2,790780807;2,325084809;0,561757641;1,605102859;1,443442674;1,734582999;39;1,59;555;11,00;1,981981982;0,30;32,3;1,51;2;199;2,30;68,26;1,83;1,18;0,07;13,01;1,11;8,97;0,95;17,53;1,24;68,26;;
C Eb 2016;Cod;Egersund Bank;2016;2070,887697;418,9726613;3,513034371;35,36552463;91,88154021;122,5065153;3,316156548;2,622185685;0,545682399;1,963228267;1,548580105;2,088159187;42;1,62;620;5,00;0,806451613;-0,09;5,9;0,77;2;123;2,09;24,83;1,40;0,21;-0,68;5,45;0,74;2,10;0,32;7,26;0,86;24,83;;
C Eb 2016;Cod;Egersund Bank;2016;593,364947;170,0430679;0,53244203;6,841473777;27,98628994;33,58414224;2,773321887;2,230558932;-0,27372767;1,446945329;0,835149667;1,526134261;55;1,74;1400;12,00;0,857142857;-0,07;52,4;1,72;3;311;2,49;89,16;1,95;0,28;-0,55;14,67;1,17;3,59;0,55;17,61;1,25;89,16;;
C Eb 2016;Cod;Egersund Bank;2016;1593,060412;476,0616023;2,738705097;23,63712399;71,80493871;59,19027668;3,202232246;2,677663154;0,43754527;1,856154316;1,373594633;1,77225037;69;1,84;3235;44,00;1,360123648;0,13;18,1;1,26;4;289;2,46;86,34;1,94;0,50;-0,30;13,02;1,11;4,29;0,63;10,74;1,03;86,34;;
C Eb 2016;Cod;Egersund Bank;2016;2126,018362;881,5575764;4,068757875;35,71561558;110,0871711;133,1086464;3,327567011;2,945250682;0,609461847;2,041736712;1,55285814;2,124206267;107;2,03;11170;279,00;2,497761862;0,40;23,3;1,37;6;496;2,70;205,48;2,31;0,95;-0,02;25,66;1,41;8,32;0,92;31,03;1,49;205,48;;
C Eb 2016;Cod;Egersund Bank;2016;503,3476389;144,3896098;2,942256481;13,53950402;18,579658;35,04607691;2,701868036;2,159535943;0,468680528;1,269037716;1,131602756;1,54463941;42,5;1,63;840;14,00;1,666666667;0,22;10,6;1,03;3;53;1,73;15,34;1,19;0,31;-0,50;1,97;0,30;1,44;0,16;3,72;0,57;15,34;;
C Eb 2016;Cod;Egersund Bank;2016;772,6060165;196,5812183;2,331247205;20,99025182;34,89114904;44,35227245;2,887958086;2,293542022;0,367588329;1,542715272;1,322017649;1,646915876;43,5;1,64;665;8,00;1,203007519;0,08;15,8;1,20;3;122;2,09;30,97;1,49;0,37;-0,44;5,50;0,74;3,31;0,52;6,99;0,84;30,97;;
C Eb 2016;Cod;Egersund Bank;2016;308,4871524;125,1639203;3,703395047;12,79224371;19,2016266;24,3193256;2,489237082;2,097479157;0,568600041;1,28333802;1,106946725;1,385951527;52,5;1,72;1430;42,00;2,937062937;0,47;52,0;1,72;3;161;2,21;65,14;1,81;1,93;0,28;9,99;1,00;6,66;0,82;12,66;1,10;65,14;;
C Eb 2016;Cod;Egersund Bank;2016;916,983361;334,8645859;2,23645414;22,57994401;52,04032123;68,21845632;2,962361455;2,52486922;0,349559997;1,716339969;1,353722861;1,833901888;49,5;1,69;1070;13,00;1,214953271;0,08;10,1;1,01;3;93;1,97;33,94;1,53;0,23;-0,64;5,27;0,72;2,29;0,36;6,91;0,84;33,94;;
C Eb 2016;Cod;Egersund Bank;2016;1067,729388;261,1478904;2,27471144;22,66670706;56,02821228;75,63308109;3,028461196;2,416886522;0,356926312;1,748406765;1,355388432;1,878711793;41;1,61;680;10,00;1,470588235;0,17;12,0;1,08;3;128;2,11;31,22;1,49;0,27;-0,57;6,70;0,83;2,71;0,43;9,04;0,96;31,22;;
C Eb 2016;Cod;Egersund Bank;2016;942,8053087;270,6204458;4,533878213;17,82824759;38,06566221;85,50651329;2,974422019;2,432360605;0,65646985;1,580533389;1,251108657;1,931999197;38;1,58;525;7,00;1,333333333;0,12;7,5;0,87;2;71;1,85;20,24;1,31;0,34;-0,47;2,85;0,45;1,33;0,12;6,39;0,81;20,24;;
C Eb 2016;Cod;Egersund Bank;2016;931,5615897;194,270434;3,54981661;17,23812669;38,51039073;60,6115804;2,969211573;2,28840671;0,550205917;1,585577925;1,236490068;1,782555608;37;1,57;485;6,00;1,237113402;0,09;5,9;0,77;2;55;1,74;11,53;1,06;0,21;-0,68;2,29;0,36;1,02;0,01;3,60;0,56;11,53;;
C Eb 2016;Cod;Egersund Bank;2016;327,5353183;132,3297675;3,983070401;18,19701202;17,18478431;18,49299877;2,515258137;2,121657549;0,600217983;1,235144085;1,260000082;1,267007341;60,5;1,78;2030;51,00;2,512315271;0,40;58,1;1,76;4;190;2,28;76,86;1,89;2,31;0,36;9,98;1,00;10,57;1,02;10,74;1,03;76,86;;
C Eb 2016;Cod;Egersund Bank;2016;189,3218012;63,88543169;3,637718046;12,30570114;11,29416615;13,18247469;2,277200628;1,805401834;0,560829035;1,052854173;1,090106364;1,119996946;45;1,65;915;35,00;3,825136612;0,58;58,5;1,77;3;111;2,04;37,36;1,57;2,13;0,33;6,60;0,82;7,20;0,86;7,71;0,89;37,36;;
C Eb 2016;Cod;Egersund Bank;2016;619,6962058;226,6603465;4,274802371;23,13999844;42,16685567;46,24657144;2,792178837;2,355375548;0,630916042;1,624971217;1,364363325;1,665079541;48;1,68;2755;58,00;2,105263158;0,32;47,1;1,67;5;292;2,46;106,70;2,03;2,01;0,30;19,85;1,30;10,89;1,04;21,77;1,34;106,70;;
C Eb 2016;Cod;Egersund Bank;2016;480,0761347;130,5139283;2,311349318;15,92064522;25,40466959;31,47444181;2,681310117;2,115656862;0,363865586;1,404913551;1,201960664;1,497958037;39;1,59;540;9,00;1,666666667;0,22;11,2;1,05;2;54;1,73;14,56;1,16;0,26;-0,59;2,83;0,45;1,78;0,25;3,51;0,55;14,56;;
C Eb 2016;Cod;Egersund Bank;2016;1211,532463;414,0984032;4,469483617;24,68637264;62,68272808;69,26872352;3,083335056;2,617103556;0,65025735;1,79714789;1,39245728;1,840537185;47;1,67;870;15,00;1,724137931;0,24;20,8;1,32;3;253;2,40;86,31;1,94;0,93;-0,03;13,06;1,12;5,15;0,71;14,44;1,16;86,31;;
C Eb 2016;Cod;Egersund Bank;2016;223,3068809;100,66664;3,455823765;14,90298759;16,43267317;18,99667564;2,348902105;2,002885573;0,538551587;1,215708218;1,17327334;1,278677607;53;1,72;1340;41,00;3,059701493;0,49;49,6;1,70;3;111;2,04;49,89;1,70;1,71;0,23;8,14;0,91;7,39;0,87;9,41;0,97;49,89;;
C Eb 2016;Cod;Egersund Bank;2016;2261,028524;490,4491699;3,903839371;27,78887535;126,170032;106,4538095;3,354306041;2,690594004;0,59149194;2,100956213;1,443870971;2,027161207;38;1,58;600;4,00;0,666666667;-0,18;5,1;0,71;2;116;2,06;25,18;1,40;0,20;-0,70;6,48;0,81;1,43;0,15;5,46;0,74;25,18;;
C Eb 2016;Cod;Egersund Bank;2016;1176,478754;416,6525846;2,867437658;20,40690608;67,45429879;81,91245588;3,070584089;2,61977408;0,457493984;1,829009632;1,309777166;1,913349947;41;1,61;610;7,00;1,147540984;0,06;8,1;0,91;2;95;1,98;33,60;1,53;0,23;-0,64;5,44;0,74;1,65;0,22;6,61;0,82;33,60;;
C Eb 2016;Cod;Egersund Bank;2016;508,0338514;270,893343;4,065510037;25,42446734;42,75264685;49,76771414;2,705892651;2,432798333;0,609115038;1,630963007;1,405251863;1,696947694;86;1,93;5930;212,00;3,575042159;0,55;48,9;1,69;2;249;2,40;132,59;2,12;1,99;0,30;20,93;1,32;12,44;1,09;24,36;1,39;132,59;;
C Eb 2016;Cod;Egersund Bank;2016;746,321783;339,372825;4,022147023;25,10351642;69,99932204;59,21455581;2,872926118;2,530677064;0,604457942;1,845093834;1,39973456;1,772428476;46;1,66;1450;16,00;1,103448276;0,04;16,3;1,21;2;122;2,09;55,48;1,74;0,66;-0,18;11,44;1,06;4,10;0,61;9,68;0,99;55,48;;
C Eb 2016;Cod;Egersund Bank;2016;428,3370832;142,4513918;2,458078554;20,47935867;27,94180458;33,65832385;2,631785675;2,153666697;0,390595758;1,446254451;1,311316352;1,527092485;40;1,60;660;8,00;1,212121212;0,08;14,2;1,15;2;61;1,78;20,25;1,31;0,35;-0,46;3,97;0,60;2,91;0,46;4,79;0,68;20,25;;
C Eb 2016;Cod;Egersund Bank;2016;496,1228501;237,8951101;3,998245639;21,64404083;53,40130784;37,42885629;2,69558923;2,376385515;0,601869472;1,727551893;1,335338345;1,573206557;50;1,70;1220;29,00;2,37704918;0,38;44,4;1,65;2;220;2,34;105,66;2,02;1,78;0,25;23,72;1,38;9,61;0,98;16,62;1,22;105,66;;
C Eb 2016;Cod;Egersund Bank;2016;488,1275808;153,0418274;3,419247165;16,58185843;30,2616743;34,84031745;2,688533347;2,184810143;0,533930496;1,480892953;1,219633203;1,542082103;43;1,63;820;11,00;1,341463415;0,13;15,0;1,17;2;73;1,86;22,88;1,36;0,51;-0,29;4,53;0,66;2,48;0,39;5,21;0,72;22,88;;
C Eb 2013;Cod;Egersund Bank;2013;260,6532286;101,9388414;2,344030274;18,12266938;15,63459197;32,72682491;2,416063109;2,008339693;0,369963216;1,194086551;1,258222168;1,514903873;35;1,54;380;12,90;3,394736842;0,53;46,2;1,67;2;121;2,08;47,14;1,67;1,08;0,04;7,23;0,86;8,38;0,92;15,13;1,18;47,14;;
C Eb 2013;Cod;Egersund Bank;2013;186,2585771;69,0870444;2,559159237;12,1617955;8,412517714;23,9691085;2,270116281;1,839396614;0,40809731;0,924925992;1,084997696;1,379651881;41;1,61;710;41,20;5,802816901;0,76;57,3;1,76;2;107;2,03;39,58;1,60;1,47;0,17;4,82;0,68;6,97;0,84;13,73;1,14;39,58;;
C Eb 2013;Cod;Egersund Bank;2013;610,4382618;312,4132205;2,324646939;28,78162373;50,34673354;84,95719652;2,785641747;2,494729404;0,366357003;1,701971299;1,459115291;1,929200173;55;1,74;1640;43,70;2,664634146;0,43;37,0;1,57;4;226;2,35;115,49;2,06;0,86;-0,07;18,61;1,27;10,64;1,03;31,41;1,50;115,49;;
C Eb 2013;Cod;Egersund Bank;2013;251,8389219;75,93557781;1,779181068;15,9979499;13,43593533;31,48603188;2,401122852;1,880445302;0,250220149;1,128267905;1,204064332;1,498117931;38;1,58;550;13,20;2,4;0,38;37,4;1,57;2;94;1,97;28,40;1,45;0,67;-0,18;5,02;0,70;5,98;0,78;11,78;1,07;28,40;;
C Eb 2013;Cod;Egersund Bank;2013;394,4135208;186,1933106;2,350472216;19,87884048;25,86491744;54,67669691;2,595951794;2,269964074;0,371155122;1,412711096;1,298391049;1,73780227;43;1,63;840;32,30;3,845238095;0,58;41,6;1,62;3;164;2,22;77,53;1,89;0,98;-0,01;10,77;1,03;8,28;0,92;22,77;1,36;77,53;;
C Eb 2013;Cod;Egersund Bank;2013;1045,145995;390,5906149;2,947640718;16,00086475;84,50928173;384,1791897;3,019176961;2,591721804;0,469474547;1,926904411;1,204143454;2,584533836;39;1,59;650;15,40;2,369230769;0,37;39,3;1,59;2;411;2,61;153,47;2,19;1,16;0,06;33,20;1,52;6,29;0,80;150,95;2,18;153,47;;
C Eb 2013;Cod;Egersund Bank;2013;255,6349146;80,99217119;2,623958977;14,42549591;15,0221327;36,58808961;2,407620169;1,908443041;0,418957041;1,176731594;1,159130752;1,563339734;37;1,57;550;14,30;2,6;0,41;34,7;1,54;2;89;1,95;28,12;1,45;0,91;-0,04;5,21;0,72;5,01;0,70;12,70;1,10;28,12;;
C Eb 2013;Cod;Egersund Bank;2013;942,9380725;528,1952617;2,311735746;28,31284328;47,59195928;185,7432423;2,974483171;2,722794501;0,363938188;1,677533584;1,451983485;2,268913022;70;1,85;3380;113,40;3,355029586;0,53;47,8;1,68;4;451;2,65;252,60;2,40;1,11;0,04;22,76;1,36;13,54;1,13;88,83;1,95;252,60;;
C Eb 2013;Cod;Egersund Bank;2013;537,3488411;149,2338355;2,154460656;29,95179081;29,46834817;71,10390382;2,730256317;2,173867301;0,333338568;1,469355792;1,476422794;1,851893445;34;1,53;410;5,40;1,317073171;0,12;12,2;1,08;2;65;1,82;18,14;1,26;0,26;-0,58;3,58;0,55;3,64;0,56;8,64;0,94;18,14;;
C Eb 2013;Cod;Egersund Bank;2013;135,9780236;49,5553487;2,562692892;14,48674206;8,705125378;25,25849791;2,133468725;1,695090536;0,408696564;0,939775031;1,160970727;1,40240752;38;1,58;420;14,70;3,5;0,54;49,7;1,70;3;68;1,83;24,63;1,39;1,27;0,10;4,33;0,64;7,20;0,86;12,55;1,10;24,63;;
C Eb 2013;Cod;Egersund Bank;2013;226,4064306;73,40871997;2,364155481;14,92899939;15,25557829;36,65348657;2,354888758;1,865747651;0,373676035;1,183428675;1,1740307;1,564115292;36;1,56;470;9,10;1,936170213;0,29;39,4;1,60;2;89;1,95;28,95;1,46;0,93;-0,03;6,02;0,78;5,89;0,77;14,45;1,16;28,95;;
C Eb 2013;Cod;Egersund Bank;2013;271,1479869;61,63260528;2,237074153;15,18074484;13,12372874;25,39688889;2,433206384;1,789810526;0,34968038;1,118057245;1,181293081;1,404780519;38;1,58;530;10,20;1,924528302;0,28;33,2;1,52;2;90;1,95;20,49;1,31;0,74;-0,13;4,36;0,64;5,05;0,70;8,44;0,93;20,49;;
C Eb 2013;Cod;Egersund Bank;2013;630,4311048;293,725383;1,702815472;26,04306016;44,33923418;105,0709438;2,799637633;2,467941479;0,231167588;1,646788188;1,415692014;2,021482633;43;1,63;910;13,40;1,472527473;0,17;25,5;1,41;4;161;2,21;74,83;1,87;0,43;-0,36;11,30;1,05;6,63;0,82;26,77;1,43;74,83;;
C Eb 2013;Cod;Egersund Bank;2013;420,4337214;113,0712775;1,895803355;17,69121168;23,82410721;48,82318175;2,623697542;2,053352299;0,277793287;1,377016635;1,247757579;1,688626078;36;1,56;530;6,30;1,188679245;0,08;12,1;1,08;2;51;1,70;13,63;1,13;0,23;-0,64;2,87;0,46;2,13;0,33;5,88;0,77;13,63;;
C Eb 2013;Cod;Egersund Bank;2013;748,9856645;193,3934596;1,630656994;18,10029263;51,67031466;202,0929528;2,874473505;2,286441783;0,212362617;1,713241106;1,257685596;2,30555117;37;1,57;600;5,10;0,85;-0,07;3,8;0,58;2;29;1,46;7,38;0,87;0,06;-1,21;1,97;0,30;0,69;-0,16;7,72;0,89;7,38;;
C Eb 2013;Cod;Egersund Bank;2013;1558,948428;347,4044625;1,768792047;21,26123773;115,8135894;341,4592662;3,192831749;2,540835393;0,247676777;2,063759522;1,327588544;2,533338903;36;1,56;450;3,40;0,755555556;-0,12;5,7;0,75;2;88;1,95;19,64;1,29;0,10;-1,00;6,55;0,82;1,20;0,08;19,31;1,29;19,64;;
C Eb 2013;Cod;Egersund Bank;2013;206,3554407;68,43156973;1,896001304;15,36758952;12,92010193;26,82168973;2,314615924;1,835256502;0,277838632;1,11126594;1,186605752;1,428486134;37;1,57;490;13,70;2,795918367;0,45;28,1;1,45;2;58;1,76;19,21;1,28;0,53;-0,27;3,63;0,56;4,31;0,63;7,53;0,88;19,21;;
C Eb 2013;Cod;Egersund Bank;2013;1726,244804;422,0961226;0,400570963;20,19605965;97,87961268;530,695547;3,237102384;2,625411363;-0,397320535;1,990692242;1,305266645;2,724845444;34;1,53;460;5,30;1,152173913;0,06;14,5;1,16;2;251;2,40;61,34;1,79;0,06;-1,23;14,22;1,15;2,93;0,47;77,12;1,89;61,34;;
C Eb 2013;Cod;Egersund Bank;2013;449,8820657;113,7834358;2,028515328;16,97790297;23,99419719;50,79542119;2,653098681;2,056079043;0,307178294;1,380106224;1,229884047;1,705824566;35;1,54;430;8,30;1,930232558;0,29;20,4;1,31;3;92;1,96;23,24;1,37;0,41;-0,38;4,90;0,69;3,47;0,54;10,38;1,02;23,24;;
C Eb 2013;Cod;Egersund Bank;2013;494,0595475;279,4367621;1,754703051;25,8637687;39,84359983;73,66654216;2,693779296;2,44628354;0,244203631;1,60035857;1,412691808;1,867270285;96;1,98;8320;285,50;3,431490385;0,54;44,0;1,64;5;217;2,34;122,92;2,09;0,77;-0,11;17,53;1,24;11,38;1,06;32,40;1,51;122,92;;
C Eb 2013;Cod;Egersund Bank;2013;357,2128055;162,7232976;1,464444704;17,36847096;22,921175;37,55325744;2,552927019;2,211449737;0,165672978;1,360236877;1,239761587;1,574647614;76;1,88;4720;130,70;2,769067797;0,44;44,8;1,65;4;160;2,20;72,88;1,86;0,66;-0,18;10,27;1,01;7,78;0,89;16,82;1,23;72,88;;
C Eb 2013;Cod;Egersund Bank;2013;724,1466889;317,8760988;1,779834314;22,40832716;35,53076082;82,2057576;2,859826549;2,502257874;0,250379575;1,550604507;1,350409437;1,914902236;68;1,83;3010;78,70;2,61461794;0,42;44,7;1,65;4;324;2,51;142,18;2,15;0,80;-0,10;15,89;1,20;10,02;1,00;36,77;1,57;142,18;;
C Eb 2013;Cod;Egersund Bank;2013;669,8417238;294,2188668;1,860813357;24,83236707;41,61525823;84,79932604;2,825972196;2,468670518;0,269702815;1,619252594;1,395018119;1,928392401;70;1,85;3290;85,80;2,607902736;0,42;49,2;1,69;4;329;2,52;144,64;2,16;0,91;-0,04;20,46;1,31;12,21;1,09;41,69;1,62;144,64;;
C Eb 2013;Cod;Egersund Bank;2013;874,9466288;430,2875593;1,272469636;23,9433987;63,66417986;101,9996955;2,941981562;2,63375879;0,104647428;1,803895149;1,379185797;2,008598875;73;1,86;3930;61,50;1,564885496;0,19;24,7;1,39;4;216;2,33;106,29;2,03;0,31;-0,50;15,73;1,20;5,91;0,77;25,20;1,40;106,29;;
C Eb 2013;Cod;Egersund Bank;2013;559,663411;274,7033776;1,689825268;27,97969118;29,10421281;59,72482879;2,747926915;2,438863999;0,2278418;1,463955857;1,446842917;1,776154913;69;1,84;3310;85,50;2,583081571;0,41;51,7;1,71;3;289;2,46;142,08;2,15;0,87;-0,06;15,05;1,18;14,47;1,16;30,89;1,49;142,08;;
C Eb 2011;Cod;Egersund Bank;2011;1976,145697;953,3450955;1,154307156;44,03259492;175,6095338;174,0273089;3,295818961;2,979250137;0,062321388;2,24454809;1,64377428;2,240617405;60;1,78;1710;21,00;1,228070175;0,09;8,8;0,95;;174;2,24;84,09;1,92;0,10;-0,99;15,49;1,19;3,88;0,59;15,35;1,19;84,09;;
C Eb 2011;Cod;Egersund Bank;2011;1116,983707;213,8787969;1,658209973;22,43533795;36,92163271;57,36248263;3,048046838;2,330167732;0,219639523;1,567280898;1,350932616;1,758627939;62;1,79;1990;44,00;2,211055276;0,34;39,7;1,60;;443;2,65;84,87;1,93;0,66;-0,18;14,65;1,17;8,90;0,95;22,76;1,36;84,87;;
C Eb 2011;Cod;Egersund Bank;2011;453,6500184;194,9816583;4,546603748;29,6813595;23,37947558;30,15875736;2,656720933;2,28999376;0,657687106;1,368834765;1,472483789;1,479413443;40;1,60;625;10,00;1,6;0,20;33,2;1,52;;151;2,18;64,73;1,81;1,51;0,18;7,76;0,89;9,85;0,99;10,01;1,00;64,73;;
C Eb 2011;Cod;Egersund Bank;2011;370,5310218;166,253505;2,787831075;17,61987971;27,9015725;38,33965949;2,568824574;2,22077081;0,445266455;1,44562868;1,246002939;1,583648251;64;1,81;2620;135,00;5,152671756;0,71;77,9;1,89;;289;2,46;129,53;2,11;2,17;0,34;21,74;1,34;13,73;1,14;29,87;1,48;129,53;;
C Eb 2011;Cod;Egersund Bank;2011;1709,158928;896,5200334;2,344281889;45,38433397;127,0247536;210,2807218;3,232782448;2,952559999;0,370009832;2,103888361;1,656905966;2,322799459;71;1,85;3380;49,00;1,449704142;0,16;17,8;1,25;;305;2,48;159,95;2,20;0,42;-0,38;22,66;1,36;8,10;0,91;37,52;1,57;159,95;;
C Eb 2011;Cod;Egersund Bank;2011;507,2655016;208,0385591;4,635014047;25,28657663;45,79099592;41,63553438;2,705235328;2,318143837;0,666051055;1,660780089;1,402890037;1,619464143;36;1,56;435;7,00;1,609195402;0,21;33,9;1,53;;172;2,24;70,61;1,85;1,57;0,20;15,54;1,19;8,58;0,93;14,13;1,15;70,61;;
C Eb 2011;Cod;Egersund Bank;2011;232,6678428;95,76014139;3,214202242;14,99221129;17,54048765;18,03189507;2,366736363;1,981184779;0,5070732;1,244041663;1,175865694;1,256041372;36;1,56;475;21,00;4,421052632;0,65;62,6;1,80;;146;2,16;59,99;1,78;2,01;0,30;10,99;1,04;9,39;0,97;11,30;1,05;59,99;;
C Eb 2011;Cod;Egersund Bank;2011;299,0708268;122,8921713;5,186154666;22,61750401;27,80365867;26,64756498;2,475774051;2,089524218;0,714845465;1,444101948;1,354444676;1,42565753;40;1,60;715;27,00;3,776223776;0,58;38,1;1,58;;114;2,06;46,83;1,67;1,98;0,30;10,60;1,03;8,62;0,94;10,16;1,01;46,83;;
C Eb 2011;Cod;Egersund Bank;2011;1280,517865;343,8242454;5,496896706;27,93722704;87,01533353;61,54234398;3,107385642;2,536336499;0,740117576;1,939595789;1,446183297;1,789174033;37;1,57;470;6,00;1,276595745;0,11;27,7;1,44;;355;2,55;95,39;1,98;1,53;0,18;24,14;1,38;7,75;0,89;17,07;1,23;95,39;;
C Eb 2011;Cod;Egersund Bank;2011;488,846122;182,9403059;3,508738982;19,14709492;37,71807642;36,49690709;2,689172174;2,262309401;0,545151062;1,576549536;1,28210289;1,562256062;42;1,62;720;20,00;2,777777778;0,44;39,8;1,60;;195;2,29;72,90;1,86;1,40;0,15;15,03;1,18;7,63;0,88;14,54;1,16;72,90;;
C Eb 2011;Cod;Egersund Bank;2011;753,5042056;294,5070175;3,79003978;24,41436668;59,24552982;51,30610612;2,877085681;2,469095648;0,578643768;1,772655588;1,387645463;1,710169055;40;1,60;690;11,00;1,594202899;0,20;35,3;1,55;;266;2,43;104,09;2,02;1,34;0,13;20,94;1,32;8,63;0,94;18,13;1,26;104,09;;
C Eb 2011;Cod;Egersund Bank;2011;805,7052137;313,8475096;3,728816936;24,0074515;51,97590033;61,29498529;2,906176174;2,496718687;0,571571062;1,715802021;1,38034606;1,787424945;43;1,63;855;12,00;1,403508772;0,15;31,2;1,49;;251;2,40;97,90;1,99;1,16;0,07;16,21;1,21;7,49;0,87;19,12;1,28;97,90;;
C Eb 2011;Cod;Egersund Bank;2011;532,0504051;234,7334807;3,255850513;15,3680686;42,32889525;32,38697537;2,725952778;2,370575039;0,512664457;1,626636934;1,18661929;1,510370391;40;1,60;650;31,00;4,769230769;0,68;49,0;1,69;;261;2,42;114,95;2,06;1,59;0,20;20,73;1,32;7,53;0,88;15,86;1,20;114,95;;
C Eb 2011;Cod;Egersund Bank;2011;546,1940867;157,9713524;3,991779321;20,65414378;32,96237551;53,41017338;2,737346994;2,198578336;0,601166524;1,518018503;1,315007196;1,727623988;32;1,51;340;9,00;2,647058824;0,42;49,9;1,70;;272;2,44;78,80;1,90;1,99;0,30;16,44;1,22;10,30;1,01;26,64;1,43;78,80;;
C Eb 2011;Cod;Egersund Bank;2011;651,2597145;211,6846039;3,73757443;21,09733761;36,40324921;36,82296452;2,813754214;2,325689272;0,57258985;1,561140149;1,324227653;1,566118749;39;1,59;680;14,00;2,058823529;0,31;38,9;1,59;;253;2,40;82,38;1,92;1,45;0,16;14,17;1,15;8,21;0,91;14,33;1,16;82,38;;
C Eb 2011;Cod;Egersund Bank;2011;431,690598;140,3646663;3,897599691;19,28368879;30,06888149;33,24021074;2,63517259;2,147257797;0,590797232;1,478117273;1,285190114;1,521663769;38;1,58;525;19,00;3,619047619;0,56;38,0;1,58;;164;2,21;53,27;1,73;1,48;0,17;11,41;1,06;7,32;0,86;12,62;1,10;53,27;;
C Eb 2011;Cod;Egersund Bank;2011;637,6866258;187,4528852;3,500059088;19,26848171;45,5175282;24,74788258;2,804607309;2,272892129;0,544075376;1,65817867;1,284847495;1,393538047;38;1,58;485;15,00;3,092783505;0,49;53,3;1,73;;340;2,53;99,89;2,00;1,87;0,27;24,25;1,38;10,27;1,01;13,19;1,12;99,89;;
C Eb 2011;Cod;Egersund Bank;2011;1279,36224;350,2227068;3,132417539;23,6681784;72,50625303;145,5284039;3,106993528;2,5443443;0,495879647;1,860375462;1,374164834;2,162947766;42;1,62;705;12,00;1,70212766;0,23;14,7;1,17;;188;2,27;51,56;1,71;0,46;-0,34;10,68;1,03;3,48;0,54;21,43;1,33;51,56;;
C Eb 2011;Cod;Egersund Bank;2011;597,6453807;189,3392964;4,173812146;21,6313851;37,55396102;22,33325597;2,776443567;2,277240759;0,620532899;1,574655751;1,335084329;1,348952044;34;1,53;385;9,00;2,337662338;0,37;42,1;1,62;;252;2,40;79,77;1,90;1,76;0,25;15,82;1,20;9,11;0,96;9,41;0,97;79,77;;
C Eb 2011;Cod;Egersund Bank;2011;379,6098976;173,850056;4,305038531;20,89168698;33,5968007;31,0708127;2,579337527;2,240174835;0,633977043;1,526297923;1,31997351;1,492352613;35;1,54;410;9,00;2,195121951;0,34;44,9;1,65;;170;2,23;78,01;1,89;1,93;0,29;15,08;1,18;9,37;0,97;13,94;1,14;78,01;;
C Eb 2011;Cod;Egersund Bank;2011;1350,215974;499,23734;2,473398088;22,21426448;78,09268121;87,13574514;3,130403242;2,698307061;0,393294021;1,892610334;1,346631938;1,940196349;66;1,82;2470;35,00;1,417004049;0,15;16,0;1,20;;216;2,33;79,91;1,90;0,40;-0,40;12,50;1,10;3,56;0,55;13,95;1,14;79,91;;
